vms,vmshelp
sep,separated
hts,https
diag,diagnosing
mim,mimic
util,utilities
desc,description
utils,utilities
defs,defaults
prot,protocol
sug,suggested
emacs,emacskey
compr,compressed
uci,ucirc
xxxx,xxxxxx
modif,modified
nums,numbers
tok,token
addrs,address
manag,management
coord,coordinate
redir,redirection
bor,border
impl,implemented
tim,times
ack,acknowledged
scr,screen
inv,involve
attrs,attributes
conf,configure
sna,sna
cst,construct
cfg,configuration
stbl,suitable
ncsa,necessary
prv,previous
thru,through
cnon,canonicalizes
lyx,lynx
eql,equal
adrs,address
rqst,request
cmds,commands
dfl,default
