n,identifier,splitted_result
1,abstractConnectorSerializedDataVersion,abstract-connector-serialized-data-version
2,AbstractFigure,abstract-figure
3,AbstractFigures,abstract-figures
4,abstractFigureSerializedDataVersion,abstract-figureserialized-data-version
5,AbstractHandle,abstract-handle
6,AbstractLocator,abstract-locator
7,AbstractTool,abstract-tool
8,acceptsTyping,accepts-typing
9,ActionEvent,action-event
10,ActionListener,action-listener
11,actionPerformed,action-performed
12,ActionTool,action-tool
13,addActionListener,add-action-listener
14,addAll,add-all
15,addBackground,add-background
16,addCornerHandles,add-corner-handles
17,addDrawingChangeListener,add-drawing-change-listener
18,addElement,add-element
19,addFigureChangeListener,add-figure-change-listener
20,addForeground,add-foreground
21,addHandles,add-handles
22,addImage,add-image
23,addInternal,add-internal
24,addItem,add-item
25,addItemListener,add-item-listener
26,addKeyListener,add-key-listener
27,addLayoutComponent,add-layout-component
28,addListeners,add-listeners
29,addMouseListener,add-mouse-listener
30,addMouseMotionListener,add-mouse-motion-listener
31,addPoint,add-point
32,addPointRelative,add-point-relative
33,addPostTask,add-post-task
34,addPreTask,add-pre-task
35,addSeparator,add-separator
36,addToContainer,add-to-container
37,addToSelection,add-to-selection
38,addToSelectionAll,add-to-selectionall
39,addWindowListener,add-window-listener
40,AlignCommand,align-command
41,alignmentMenu,align-mentmenu
42,ALLBITS,all-bits
43,anchorAngle,anchor-angle
44,anchorFigure,anchor-figure
45,anchorHandle,anchor-handle
46,anchorLen,anchor-len
47,anchorX,anchor-x
48,anchorY,anchor-y
49,andrewfg,and-rewfg
50,angleToPoint,angle-to-point
51,AnimationDecorator,animation-decorator
52,animationDecoratorSerializedDataVersion,animation-decorator-serialized-data-version
53,animationStep,animation-step
54,anyway,any-way
55,appletClassname,applet-class-name
56,appletPath,applet-path
57,ArrayIndexOutOfBoundsException,array-index-out-of-bounds-exception
58,ArrowMode,arrow-mode
59,arrowMode,arrow-mode
60,ArrowTip,arrow-tip
61,arrowTipSerializedDataVersion,arrow-tip-serialized-data-version
62,asInt,as-int
63,AttributeFigure,attribute-figure
64,attributeFigureSerializedDataVersion,attribute-figure-serialized-data-version
65,attributeName,attribute-name
66,attributeValue,attribute-value
67,AWTEventMulticaster,awt-event-multi-caster
68,basicDisplayBox,basic-display-box
69,basicGetImage,basic-get-image
70,basicMoveBy,basic-move-by
71,beginEdit,begin-edit
72,booleanValue,boolean-value
73,BORDDEC,bord-decorator
74,BorderDecorator,border-decorator
75,borderDecoratorSerializedDataVersion,border-decorator-serialized-data-version
76,BorderLayout,border-layout
77,BorderTool,border-tool
78,BouncingDrawing,bouncing-drawing
79,bouncingDrawingSerializedDataVersion,bouncing-drawing-serialized-data-version
80,BoxHandleKit,box-handle-kit
81,bringToFront,bring-to-front
82,BringToFrontCommand,bring-to-front-command
83,BufferedReader,buffered-reader
84,bufferedUpdateSerializedDataVersion,buffered-update-serialized-data-version
85,BufferedUpdateStrategy,buffered-update-strategy
86,buttonPalette,button-palette
87,ByteArrayInputStream,byte-array-input-stream
88,ByteArrayOutputStream,byte-array-output-stream
89,ByteStream,byte-stream
90,canConnect,can-connect
91,Cannot,can-not
92,cannot,can-not
93,ChangeAttributeCommand,change-attribute-command
94,ChangeConnectionEndHandle,change-connection-end-handle
95,ChangeConnectionHandle,change-connection-handle
96,ChangeConnectionHandles,change-connection-handles
97,ChangeConnectionStartHandle,change-connection-start-handle
98,checkDamage,check-damage
99,checkEnabled,check-enabled
100,checkMinimumSize,check-minimum-size
101,ChopBoxConnector,chop-box-connector
102,ChopEllipseConnector,chop-ellipse-connector
103,ChopPolygonConnector,chop-polygon-connector
104,className,class-name
105,ClassNotFoundException,class-not-found-exception
106,clearSelection,clear-selection
107,Clipboard,clip-board
108,clipboard,clip-board
109,CloneNotSupportedException,clone-not-supported-exception
110,codeBase,code-base
111,ColorEntry,color-entry
112,colorIndex,color-index
113,ColorMap,color-map
114,CommandButton,command-button
115,CommandChoice,command-choice
116,CommandMenu,command-menu
117,CompositeFigure,composite-figure
118,compositeFigureSerializedDataVersion,composite-figure-serialized-data-version
119,connectedFigure,connected-figure
120,connectedTextLocator,connected-text-locator
121,ConnectedTextTool,connected-text-tool
122,connectEnd,connect-end
123,ConnectionFigure,connection-figure
124,ConnectionFigures,connection-figures
125,ConnectionHandle,connection-handle
126,connectionInsets,connection-in-sets
127,ConnectionTool,connection-tool
128,connectorVisibility,connector-visibility
129,connectsSame,connects-same
130,connectStart,connect-start
131,constrainPoint,constrain-point
132,containsKey,contains-key
133,containsPoint,contains-point
134,CopyCommand,copy-command
135,copySelection,copy-selection
136,createAlignmentMenu,create-alignment-menu
137,createAnimationMenu,create-animation-menu
138,createAreaTracker,create-area-tracker
139,createArrowMenu,create-arrow-menu
140,createAttributeChoices,create-attribute-choices
141,createAttributesMenu,createat-tributes-menu
142,createAttributesPanel,create-attributes-panel
143,createButtonPanel,create-button-panel
144,createButtons,create-buttons
145,createColorChoice,create-color-choice
146,createColorMenu,create-color-menu
147,createConnection,create-connection
148,createConnectors,create-connectors
149,createContents,create-contents
150,createCurrentFont,create-current-font
151,createDebugMenu,create-debug-menu
152,createdFigure,created-figure
153,createDragTracker,create-drag-tracker
154,createDrawing,create-drawing
155,createDrawingView,create-drawing-view
156,createEditMenu,create-edit-menu
157,createFigure,create-figure
158,createFileMenu,create-file-menu
159,createFontChoice,create-font-choice
160,createFontMenu,create-font-menu
161,createFontSizeMenu,create-font-size-menu
162,createFontStyleMenu,create-font-style-menu
163,createHandleTracker,create-handle-tracker
164,createImage,create-image
165,createImagesMenu,create-images-menu
166,createMenus,create-menus
167,createOverlay,create-overlay
168,createSelectionTool,create-selection-tool
169,createStatusLine,create-status-line
170,createToolButton,create-tool-button
171,createToolPalette,create-tool-palette
172,createTools,create-tools
173,createWindowMenu,create-window-menu
174,CreationTool,creation-tool
175,CROSSHAIR,cross-hair
176,currentThread,current-thread
177,currentTimeMillis,current-time-millis
178,CutCommand,cut-command
179,darkGray,dark-gray
180,DecoratorFigure,decorator-figure
181,decoratorFigureSerializedDataVersion,decorator-figure-serialized-data-version
182,decrementIndent,decrement-indent
183,defaultReadObject,default-read-object
184,defaultSize,default-size
185,DeleteCommand,delete-command
186,deleteSelection,delete-selection
187,DiamondFigure,diamond-figure
188,disconnectEnd,disconnect-end
189,disconnectStart,disconnect-start
190,displayBox,display-box
191,displaybox,display-box
192,distanceFromLine,distance-from-line
193,DragTracker,drag-tracker
194,drawAll,draw-all
195,DrawApplet,draw-applet
196,DrawApplication,draw-application
197,drawBackground,draw-background
198,drawBorder,draw-border
199,drawConnectors,draw-connectors
200,drawDrawing,draw-drawing
201,drawFrame,draw-frame
202,drawGhost,draw-ghost
203,drawHandles,draw-handles
204,drawImage,draw-image
205,DrawingChangeEvent,drawing-change-event
206,DrawingChangeListener,drawing-change-listener
207,drawingChangeListeners,drawing-change-listeners
208,drawingChoice,drawing-choice
209,DrawingEditor,drawing-editor
210,drawingInvalidated,drawing-invalidated
211,drawingRequestUpdate,drawing-request-update
212,drawingSerializedDataVersion,drawing-serialized-data-version
213,DrawingView,drawing-view
214,drawingView,drawing-view
215,drawingViewSerializedDataVersion,drawing-view-serialized-data-version
216,drawLine,draw-line
217,drawOval,draw-oval
218,drawPainters,draw-painters
219,drawPattern,draw-pattern
220,drawPolygon,draw-polygon
221,drawRect,draw-rect
222,drawRoundRect,draw-round-rect
223,drawString,draw-string
224,drawXORRect,draw-xor-rect
225,DuplicateCommand,duplicate-command
226,EastHandle,east-handle
227,ElbowConnection,elbow-connection
228,elbowConnectionSerializedDataVersion,elbow-connection-serialized-data-version
229,ElbowHandle,elbow-handle
230,ElbowTextLocator,elbow-text-locator
231,EllipseFigure,ellipse-figure
232,ellipseFigureSerializedDataVersion,ellipse-figure-serialized-data-version
233,endAction,end-action
234,endAnimation,end-animation
235,endEdit,end-edit
236,endFigure,end-figure
237,endOverlay,end-overlay
238,endPoint,end-point
239,endsWith,end-swith
240,eraseRubberBand,erase-rubber-band
241,EventListener,event-listener
242,EventObject,event-object
243,fAnchorFigure,fanchor-figure
244,fAnchorHandle,fanchor-handle
245,fAnchorPoint,fanchor-point
246,fAnimatable,fan-imatable
247,fAnimationButton,fanimation-button
248,fAnimator,fan-imator
249,fArcHeight,farc-height
250,fArcWidth,farc-width
251,fArrowChoice,far-row-choice
252,fAttribute,f-attribute
253,fAttributes,f-attributes
254,fBackground,f-background
255,fBackgrounds,f-backgrounds
256,fBase,f-base
257,fBorder,f-border
258,fCenter,f-center
259,fChild,f-child
260,fColor,f-color
261,fCommand,f-command
262,fCommands,f-commands
263,fComponent,f-component
264,fConnected,f-connected
265,fConnection,f-connection
266,fConnectors,f-connectors
267,fConnectorsVisible,f-connectors-visible
268,fConnectorTarget,f-connector-target
269,fConstrainer,f-constrainer
270,fContainer,f-container
271,fContents,f-contents
272,fCreatedFigure,f-created-figure
273,fCurrent,f-current
274,fDamage,f-damage
275,fData,f-data
276,fDefaultToolButton,f-default-tool-button
277,fDisplayBox,f-display-box
278,fDrawing,f-drawing
279,fDrawingFilename,f-drawing-file-name
280,fDrawingLockHolder,f-drawing-lock-holder
281,fEditedConnection,f-edited-connection
282,fEditor,f-editor
283,fEditWidget,f-edit-widget
284,fEndConnector,f-end-connector
285,fEndDecoration,f-end-decoration
286,fEnd,f-end
287,fEnumeration,f-enumeration
288,fFigures,f-figures
289,fFileName,f-file-name
290,fFillColor,f-fill-color
291,fFontChoice,f-font-choice
292,fFont,f-font
293,fForegrounds,f-foregrounds
294,fFrameColor,f-frame-color
295,fGap,f-gap
296,fgClipboard,fg-clipboard
297,fgCurrentFontName,fg-current-font-name
298,fgCurrentFontSize,fg-current-font-size
299,fgCurrentFontStyle,fg-current-font-style
300,fgDebug,fg-debug
301,fgDefaultAttributes,fg-default-attributes
302,fgDrawPath,fg-draw-path
303,fgEmptyRectangle,fg-empty-rectangle
304,fgIconkit,fg-icon-kit
305,fGrid,fg-rid
306,fGridX,fg-rid-x
307,fGridY,fg-rid-y
308,fgSampleImagesPath,fg-sample-images-path
309,fgSampleImagesResourcePath,fg-sample-images-resource-path
310,fgUntitled,fg-untitled
311,fHeight,f-height
312,fIcon,f-icon
313,fIconkit,f-icon-kit
314,fieldBounds,field-bounds
315,figureAt,figure-at
316,FigureAttributes,figure-attributes
317,figureAttributesSerializedDataVersion,figure-attributes-serialized-data-version
318,figureChanged,figure-changed
319,FigureChangeEvent,figure-change-event
320,FigureChangeEventMulticaster,figure-change-event-multi-caster
321,FigureChangeListener,figure-change-listener
322,figureCount,figure-count
323,FigureEnumeration,figure-enumeration
324,FigureEnumerator,figure-enumerator
325,figureIndex,figure-index
326,figureInvalidated,figure-invalidated
327,figureRemoved,figure-removed
328,figureRequestRemove,figure-request-remove
329,figureRequestUpdate,figure-request-update
330,FigureSelection,figure-selection
331,figuresReverse,figures-reverse
332,FigureTransferCommand,figure-transfer-command
333,FileDialog,file-dialog
334,FileInputStream,file-input-stream
335,fileName,file-name
336,filename,file-name
337,FileOutputStream,file-output-stream
338,FillColor,fill-color
339,fillColor,fill-color
340,fillOval,fill-oval
341,fillPolygon,fill-polygon
342,fillRect,fill-rect
343,fillRoundRect,fill-round-rect
344,fImage,f-image
345,fImageheight,f-image-height
346,fImagewidth,f-image-width
347,findConnectableFigure,find-connectable-figure
348,findConnection,find-connection
349,findConnectionStart,find-connection-start
350,findConnectionTarget,find-connection-target
351,findConnector,find-connector
352,findEnd,find-end
353,fIndent,find-ent
354,fIndex,find-ex
355,findFigure,find-figure
356,findFigureInside,find-figure-inside
357,findFigureInsideWithout,find-figure-inside-without
358,findFigureWithout,find-figure-without
359,findHandle,find-handle
360,findPoint,find-point
361,findSegment,find-segment
362,findSource,find-source
363,findStart,find-start
364,findTarget,find-target
365,fInnerRadius,f-inner-radius
366,firstElement,first-element
367,fIsReadOnly,f-is-read-only
368,fIsRunning,f-is-running
369,fLastClick,f-last-click
370,fLastX,f-last-x
371,fLastY,f-last-y
372,flattened,flattened
373,fListener,f-listener
374,fListeners,f-listeners
375,FloatingTextField,floating-text-field
376,fLocator,f-locator
377,fMap,f-map
378,fMoved,f-moved
379,fName,f-name
380,fNormal,f-normal
381,fObservedFigure,f-observed-figure
382,fOffscreen,f-off-screen
383,fOffsetX,f-offset-x
384,fOffsetY,f-offset-y
385,fOldState,f-old-state
386,FollowURLTool,follow-url-tool
387,FontMetrics,font-metrics
388,FontName,font-name
389,fontName,font-name
390,FontSize,font-size
391,FontSizeHandle,font-size-handle
392,FontStyle,font-style
393,fOriginalTarget,forigin-altar-get
394,fOriginX,f-origin-x
395,fOriginY,f-origin-y
396,fOrigPoly,f-orig-poly
397,forName,forname
398,fOuterRadius,f-outer-radius
399,fOwner,f-owner
400,fPoints,f-points
401,fPoly,f-poly
402,fPolygon,f-polygon
403,fPostTasks,f-post-tasks
404,fPressed,f-pressed
405,fPreTasks,f-pretasks
406,fPrototype,f-prototype
407,fRadius,f-radius
408,FRAMEBITS,frame-bits
409,FrameColor,frame-color
410,frameColor,frame-color
411,fRectangle,f-rectangle
412,freezeView,freeze-view
413,fRegisteredImages,f-registered-images
414,fRelativeX,f-relative-x
415,fRelativeY,f-relative-y
416,fScribble,f-scribble
417,fSegment,f-segment
418,fSelected,f-selected
419,fSelectedToolButton,f-selected-tool-button
420,fSelectGroup,f-select-group
421,fSelection,f-selection
422,fSelectionHandles,f-selection-handles
423,fSimpleUpdate,f-simple-update
424,fSize,f-size
425,fSizeIsDirty,f-size-is-dirty
426,fSleeper,f-sleeper
427,fSplitPoint,f-split-point
428,fStartConnector,f-start-connector
429,fStartDecoration,f-start-decoration
430,fStart,f-start
431,fState,f-state
432,fStatusLine,f-status-line
433,fStream,f-stream
434,fTarget,f-target
435,fTextColor,f-text-color
436,fTextField,f-text-field
437,fText,f-text
438,fTokenizer,f-tokenizer
439,fTool,f-tool
440,fTypingTarget,f-typing-target
441,fUpdateButton,f-update-button
442,fUpdateStrategy,f-update-strategy
443,fURLTarget,f-url-target
444,furthest,furthest
445,fValue,f-value
446,fVerticalLayout,f-vertical-layout
447,fView,f-view
448,fViewSize,f-view-size
449,fWidth,f-width
450,fXVelocity,f-x-velocity
451,fYVelocity,f-y-velocity
452,getAppletContext,get-applet-context
453,getArc,get-arc
454,getAscent,get-ascent
455,getAttribute,get-attribute
456,getAvailableFontFamilyNames,get-available-font-family-names
457,getBackground,get-background
458,getBlue,get-blue
459,getBounds,get-bounds
460,getClass,get-class
461,getClickCount,get-click-count
462,getClipboard,get-clip-board
463,getCodeBase,get-code-base
464,getComponentCount,get-component-count
465,getComponent,get-component
466,getConstrainer,get-constrainer
467,getContent,get-content
468,getContents,get-contents
469,getData,get-data
470,getDefaultAttribute,get-default-attribute
471,getDefaultCursor,get-default-cursor
472,getDefaultToolkit,get-default-tool-kit
473,getDirectory,get-directory
474,getDocumentBase,get-document-base
475,getDrawing,get-drawing
476,getDrawingViewSize,get-drawing-view-size
477,getEndConnector,get-end-connector
478,getFigure,get-figure
479,getFigureSelection,get-figure-selection
480,getFile,get-file
481,getFillColor,get-fill-color
482,getFont,get-font
483,getFontList,get-font-list
484,getFontMetrics,get-font-metrics
485,getFrameColor,get-frame-color
486,getGraphics,get-graphics
487,getGreen,get-green
488,getHAdjustable,get-had-justable
489,getHeight,get-height
490,getImage,get-image
491,getInsets,get-in-sets
492,getInvalidatedRectangle,get-invalidated-rectangle
493,getItemCount,get-item-count
494,getItem,get-item
495,getKeyCode,get-key-code
496,getLabel,get-label
497,getLocalGraphicsEnvironment,get-local-graphics-environment
498,getMenuBar,get-menu-bar
499,getMenu,get-menu
500,getMinimumSize,get-minimum-size
501,getName,get-name
502,getOrigin,get-origin
503,getParameter,get-parameter
504,getPolygon,get-polygon
505,getPredefinedCursor,get-predefined-cursor
506,getPreferredSize,get-preferred-size
507,getPrintJob,get-print-job
508,getRed,get-red
509,getResource,get-resource
510,getSavePath,get-save-path
511,getSelectedIndex,get-selected-index
512,getSize,get-size
513,getSource,get-source
514,getStartConnector,get-start-connector
515,getStart,get-start
516,getStateChange,get-state-change
517,getStepX,get-step-x
518,getStepY,get-step-y
519,getStyle,get-style
520,getTarget,get-target
521,getText,get-text
522,getToolkit,get-tool-kit
523,getType,get-type
524,getVAdjustable,get-v-adjustable
525,getValue,get-value
526,getWidth,get-width
527,getX,get-x
528,getY,get-y
529,GraphicsEnvironment,graphics-environment
530,GridConstrainer,grid-constrainer
531,GroupCommand,group-command
532,GroupFigure,group-figure
533,groupFigureSerializedDataVersion,group-figure-serialized-data-version
534,GroupFigures,group-figures
535,GroupHandle,group-handle
536,guessType,guess-type
537,handleConnect,handle-connect
538,handleCursorKey,handle-cursor-key
539,handleDisconnect,handle-disconnect
540,HANDLESIZE,handle-size
541,HandleTracker,handle-tracker
542,hasCycle,has-cycle
543,hasDefined,has-defined
544,Hashtable,has-htable
545,hasMoreElements,has-more-elements
546,hasMoreTokens,has-more-tokens
547,Iconkit,icon-kit
548,iconName,icon-name
549,IllegalAccessException,illegal-access-exception
550,ImageFigure,image-figure
551,imageFigureSerializedDataVersion,image-figure-serialized-data-version
552,ImageObserver,image-observer
553,ImageProducer,image-producer
554,imagesDirectory,images-directory
555,imageUpdate,image-update
556,incrementIndent,increment-indent
557,indexOf,index-of
558,initDrawing,init-drawing
559,initializeAttributes,initialize-attributes
560,innermost,inner-most
561,innerRadius,inner-radius
562,InputStream,input-stream
563,InputStreamReader,input-stream-reader
564,insertElementAt,insert-element-at
565,insertFigures,insert-figures
566,InsertImageCommand,insert-image-command
567,insertPointAt,insert-point-at
568,inspectFigure,inspect-figure
569,InstantiationException,instantiation-exception
570,InternalError,internal-error
571,InterruptedException,interrupted-exception
572,intObj,int-obj
573,intValue,int-value
574,invokeEnd,invoke-end
575,invokeStart,invoke-start
576,invokeStep,invoke-step
577,IOException,io-exception
578,isEmpty,is-empty
579,isExecutable,is-executable
580,isFocusTraversable,is-focus-traversable
581,isPrinting,is-printing
582,isReadOnly,is-readonly
583,isShiftDown,is-shift-down
584,isTransparent,is-transparent
585,isVertical,is-vertical
586,isVisible,is-visible
587,ItemEvent,item-event
588,ItemListener,item-listener
589,itemStateChanged,item-state-changed
590,itself,it-self
591,itsView,its-view
592,iwidth,i-width
593,JavaDrawApp,java-draw-app
594,JavaDrawApplet,java-draw-applet
595,javadraw,java-draw
596,JavaDrawViewer,java-draw-viewer
597,JHotDraw,j-hot-draw
598,joinSegments,join-segments
599,keyDown,key-down
600,KeyEvent,key-event
601,KeyListener,key-listener
